Configuration,Model,Final Reward,Success Rate (%),Training Time (s),Env Safety Violations,Env Constraint Violations,Action Mask Rejections,Safety Interventions
config_5,Vanilla DQN,-872.49,97.0,27.1,102,24,0,0
config_5,DQN with Action Masking,378.05,100.0,10.5,71,0,39195,0
config_5,DQN with Safety Mechanism,-454.97,100.0,48.9,77,0,4650,6004
config_5,DQN with Constraint Checking,-2005.04,87.0,103.6,92,7,7735,0
config_5,Complete Intelligent Agent,378.05,100.0,13.5,71,0,39195,0
config_8,Vanilla DQN,-261429.13,3.0,66.2,590,498,0,0
config_8,DQN with Action Masking,612.20,100.0,23.7,68,0,144660,0
config_8,DQN with Safety Mechanism,-1706.93,97.0,115.5,133,0,34560,26552
config_8,DQN with Constraint Checking,-2892.10,78.0,273.0,159,52,48837,0
config_8,Complete Intelligent Agent,612.20,100.0,30.9,68,0,144660,0
config_10,Vanilla DQN,-35816.70,5.0,77.4,811,733,0,0
config_10,DQN with Action Masking,828.68,100.0,34.7,81,0,260950,0
config_10,DQN with Safety Mechanism,-2408.42,94.0,127.0,104,0,45600,28690
config_10,DQN with Constraint Checking,-3123.66,86.0,369.4,106,49,66652,0
config_10,Complete Intelligent Agent,828.68,100.0,46.2,81,0,260950,0
