algorithm,environment,seed,timestamp,training_time,training_episodes,final_avg_reward,episode_rewards,episode_lengths,cumulative_reward,reward_std,success_rate,episode_length,episode_length_std,constraint_violations,all_rewards,all_success_rates,all_episode_lengths
dqn_full,config_5.json,42,2025-07-27T22:14:36.103573,0.09096097946166992,100,-3406.241217328805,"[111.37919966518797, -7743.597928639034, -7648.986975385511, -7699.608806611961, -7692.281199374664, -7692.549777307072, -7694.235200458841, 309.16830592443296, -7663.172281517136, -7722.2951262615115, -7690.105415148017, -46.494524138759544, 62.786449624942435, -7670.334547218736, -7668.348407080589, -7706.039132840758, 165.29447503779687, 105.44999999999997, -7725.661879074781, 362.01734995019655, -7667.487905438658, -7605.872299669148, 353.8518933818826, -7711.996409448499, 132.70802682744932, 146.76886372078968, 139.1422927912701, -7634.618720517387, -7711.839431336934, -90.50733328855523, -7646.1786790883, -28.849999999999998, 78.14822407086638, -7618.815726301085, -7697.937439214577, -7632.445121140713, -7715.634675034658, -7683.5, -7744.1, 104.9647610728494, -7692.818595933532, -7694.453733826012, -23.599999999999998, 137.2873288182721, 157.88943021597927, -7651.544509769705, 131.3, 72.67794279249948, -7623.696657705854, -7730.405391564378, -7708.115049359396, -7699.303902368075, -7704.1359040361895, -78.38865637328186, -80.43004534423446, 244.31620541859425, -69.40725959794457, -7677.511799659804, -7580.721095523293, 83.88623277500731, 304.7830679133689, -7711.144121038632, 119.55299861784336, -58.23688022620332, 79.31283851481638, -78.66489748643006, -7699.765389210386, -7650.5, -130.1138696595802, -42.39460614228471, -7737.370069013681, 143.9601983437171, 118.5930868440573, -7743.475686254458, -28.849999999999998, 173.4179386810904, -7626.546578054174, 97.83968406373634, -23.599999999999998, 317.1837717715492, 280.2120184022964, 234.1477531770314, 127.51534100572611, -47.79669197332694, -7677.55, -7643.739274613654, 145.82934943624204, 139.55472206622375, -65.79428635970726, -28.849999999999998, -28.849999999999998, 137.3533421445319, -7700.852019975976, 243.3073656042142, 331.9, 135.95123299983538, -7722.708576440372, -32.835838986844614, -28.849999999999998, 122.94290347843302]","[5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 6, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 6, 5, 5, 4, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 4, 3, 5, 3, 4, 5, 5, 6, 5, 5, 4, 3, 4, 4, 5, 5, 5, 5, 5, 3, 3, 4, 3, 5, 5, 3, 2, 5, 3, 3, 5, 2, 5, 5, 3, 2, 4, 5, 5, 3, 3, 5, 5, 5, 5, 3, 2, 2, 6, 5, 5, 5, 4, 5, 2, 2, 4]",-43.95834081878731,25.733444971256016,1.0,2.2,0.39999999999999997,0.0,"[-28.849999999999998, -28.849999999999998, -70.43729530364416, -28.849999999999998, -112.502378900749, -36.3691947922008, -32.96884115883543, -37.196598652749344, -34.709099379694436, -28.849999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2, 2, 3, 2, 3, 2, 2, 2, 2, 2]"
dqn_full,config_5.json,123,2025-07-27T22:14:36.219826,0.09656977653503418,100,-4948.882864637746,"[-7692.5673485377765, 101.57261608425226, 390.6416855464745, 342.8108735675624, 82.74525355233597, -7652.250827813888, -7651.577495854479, -7673.00361663762, -7747.90968124653, -7643.063916747774, -7647.970152910055, -7644.6, 161.69888309627814, -7729.576332044538, -7659.479090320215, 348.27295534234463, -7721.577947192591, 131.92176094545903, -7751.361984175738, -7708.561412776221, -34.150000000000006, -7580.3, 293.85629849712404, 338.97054258065333, -7678.658060711039, -7731.8228475431715, -7643.0395335144685, -7680.077516409386, -7605.9413906225145, -7609.0636606212365, -7724.70586585773, 313.90000000000003, 118.95332078312735, -7683.588954492791, -7713.245947440283, -7724.2400628986, 130.55077414944168, -124.36888223018889, -7655.035178029747, 107.14305533716846, 132.10546759500753, 85.86053448884243, 225.98758327794297, 311.64462761184524, 81.14307870369625, -7666.212701074708, -7716.318585593627, -7685.771527018429, -7714.247955993492, -7666.785824725711, -7744.989649460332, -7719.492354672836, -7641.473814218774, -7747.932696491036, -7640.139866953132, -7690.610452900731, -7779.698016712161, -7692.8308824450205, -7734.66445587232, -7675.658062395575, -83.19750355375561, -7629.292050045542, -90.01119971411438, 107.00061087909864, -7698.578380756923, -7705.199240886835, 169.46704471155738, -7628.253291799687, 292.22671330260937, -7683.11856710613, 366.2, -7660.297129038137, -7732.669036106488, -7733.36896689232, -7626.7698866787405, -7674.589492986794, 56.18554679378501, -7670.374222348781, -7736.07690937744, 155.30043020399586, -7749.537326078172, -7620.5, -7690.707274949332, -7625.452323403197, -7718.724651350732, -7744.75704616362, 76.90179791566494, -134.88938739711566, -7611.492647501178, 102.78341573681516, 110.13247889319125, -43.03637366872279, -71.59014303471866, -7707.579967448993, -7698.73783402472, -23.599999999999998, -7599.795130470968, -7700.634325011381, -7623.099999999999, -7679.768952419837]","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 3, 4, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 3, 5, 5, 2, 5, 5, 5, 5]",-666.0942573331297,2340.912704258549,0.9,4.8,0.6,0.0,"[142.87544252989898, 136.62131229081226, 153.73150150468558, -7686.598408963727, 117.92036239113952, 129.83061131695314, 142.8842705255118, 150.6234254199266, 108.82379833660116, -57.654888683098456]","[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
dqn_full,config_5.json,456,2025-07-27T22:14:36.334864,0.09523844718933105,100,-6035.913848332106,"[-7713.586612326872, 162.79698529966822, -7647.956038019389, -7678.705105281893, -7615.079869600811, 18.873827661222663, -7683.938656379276, -7676.557162865484, 196.5909391284441, 83.34226658560813, -7693.676610066119, 317.725285769011, 364.8, -7654.592075246842, -7738.891696376752, -7713.704989351093, -7757.402532676335, -7686.229682821317, -7720.312709941604, -7603.2811291274975, -7698.419172224862, -7662.711955072008, -7739.376945441261, -7679.005162160156, 292.1778171797638, -45.03840041048166, -7693.536982894528, -7699.709020128242, 65.06615876590467, -7671.604865287592, -7773.698013523953, -7698.331467207424, -7654.221238104989, -7675.995556803147, -7722.06819849649, -7725.56646987389, -7685.6457912363285, 287.1487534411913, -7715.1225392863225, -7660.386229149234, -7673.991169720138, -7677.585460305589, -7617.522014100167, -7706.342858416019, -7657.323299794439, -7714.19259289636, -7689.538387370924, -7574.2, -7682.108004401143, -7653.777468521354, -7665.2870037062685, 130.6480641499619, 105.44592814689008, -7626.004732970554, -7664.624098705255, -7701.132298133388, -7713.843065635572, 301.49124946801254, 38.239626174471894, -7682.042398970744, -7669.505877156385, -7710.098622883303, -7756.935503915537, -7625.156491856622, -7673.798784852968, -7688.551016413258, -7742.40829801116, -7758.900442828454, -7681.194424282167, -7661.410101071756, -7676.604153642121, -7651.368108050288, -7718.628235206123, 74.90182982770914, -7626.609685654165, 133.8, 95.4725518424699, -7640.239278594875, -7712.878075551066, -7730.559793376573, 141.74285940279137, -7661.6, -7665.896110161441, -7719.8870293547525, -7739.357078442118, -7641.615773975603, -7708.914286219097, -7674.0318726025935, -7648.9, 340.3746777264827, -40.150000000000006, -7714.4410768908265, -7721.488735096156, 356.5896458492916, -7701.355943230753, -7602.77770746918, -7717.786529215167, -7645.091247779012, -7690.255284815995, -7596.349999999999]","[5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 4, 5, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5]",-7670.8973278084695,22.053777004675382,0.0,5.0,0.0,0.0,"[-7660.890210164543, -7680.248569965568, -7658.508384265415, -7640.084757973887, -7662.69619688087, -7671.0225101043825, -7676.863124840791, -7691.633794105496, -7720.404820293777, -7646.620909489963]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
dqn_vanilla,config_5.json,42,2025-07-27T22:14:36.689622,0.07799053192138672,100,-6153.81980763901,"[-209.8405287907134, -7642.416561063091, -8026.209677699308, -8038.658310442824, -8709.455856926528, -7867.334349570572, -7812.78462851463, -7747.788493857079, -8696.811457725396, 30.50877210664196, -7792.525855803242, -179.833396853774, -74.56621792428457, -7991.902258938054, -8361.016617984567, -8172.119176686561, -7781.267190101952, 176.13907043448208, -7849.214161277355, -8730.575327425338, -162.51019508329108, -7992.124703375522, 0.0, -8501.714976096288, -7848.383209357833, -8104.205969371695, -8827.026571809834, -8188.079684617238, 96.28758889696125, -373.8082786129957, 16.959458458194124, -7873.980791023609, -410.31295306576806, -7971.024431242364, -8001.985123833335, -60.150000000000006, -7749.522924751542, -7797.462331523025, -8037.852155903368, -7871.602122356503, -7787.0293582639, -51.2478424883807, -7978.844598002699, -7927.911415595781, -7711.450000000001, -7747.5490687514375, 4.205479827575239, -7939.713184484988, -7741.539700086671, -8539.452670969209, -8247.835001731737, -7734.841587520286, -8234.430981046416, -7747.000670419656, -8065.356638716894, -7813.1813796023, -7848.110270279927, -7854.649384749511, -8717.188629368731, -74.83391465903011, -66.76975433526381, -8075.729345540913, -34.39661560341896, -8035.227205563948, -8321.92367751538, 74.6, -9169.84036312109, -7841.589435533129, -7755.470186645465, -7860.972772841323, -8954.760961183252, -96.21421577339831, -7848.994900002807, -8329.275367404149, -8185.525385873269, -8062.986309723051, -7786.5395802248795, -8660.138438068672, -7934.95620706607, -7926.325571091012, -8626.315708667062, -7733.720690689851, -159.95159619525606, -8355.47071769088, -7798.205319178144, -7910.471218657922, -85.20108822580033, -8979.152458089167, -8195.59019918341, -7832.1201448788415, -7789.483652651924, 194.85322002302183, -7959.817985517639, -7770.572823547218, -7853.920070030899, -7845.665435669063, -8913.545777318515, -61.87643369911024, -7867.978922302897, -70.60503199659976]","[7, 6, 10, 10, 24, 9, 7, 7, 22, 7, 9, 5, 2, 11, 16, 14, 6, 7, 9, 21, 10, 10, 2, 20, 8, 16, 28, 14, 5, 16, 6, 9, 17, 12, 11, 2, 7, 8, 12, 10, 8, 9, 11, 9, 5, 6, 12, 10, 8, 21, 16, 7, 17, 6, 12, 8, 8, 9, 23, 4, 3, 11, 7, 11, 16, 4, 30, 8, 12, 9, 29, 5, 10, 17, 15, 13, 5, 23, 12, 8, 27, 5, 10, 22, 7, 11, 4, 26, 17, 7, 7, 8, 12, 8, 7, 9, 28, 9, 8, 3]",-9202.281484524503,78.12177681698425,0.0,42.0,6.7379522111692065,0.0,"[-9207.834316080229, -9210.592861286681, -9238.715646616409, -9204.274273169423, -9201.399661715886, -9245.609268237262, -9248.414649373255, -8974.851272725398, -9237.762962164717, -9253.359933875761]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[47, 38, 38, 43, 51, 35, 37, 56, 36, 39]"
dqn_vanilla,config_5.json,123,2025-07-27T22:14:36.883928,0.0858466625213623,100,-5786.407173249399,"[-7866.231237743221, -8364.54470218806, 105.8722102565228, -324.59690161137104, -7766.15, -7812.385702335699, -7855.607478416161, -7790.312031742805, -7798.106223076978, -8287.097139371228, -8019.157720657634, -7982.638591858385, -8029.440904025054, -8022.789574924928, -7725.04808532945, -7941.051943065704, -70.45012178848714, -553.8684721862236, -7836.680115668298, 168.1423877552998, -7670.095978844511, -7650.45, -68.550439001751, -8344.90839139424, -7822.7245182512925, -8034.24501700714, -7730.0059090506875, -8726.611786765214, -7673.1667598170925, -8115.987844951635, -481.56086645861865, 26.045494639488, -8097.808253676975, -7848.607992900941, -8677.560648955821, -60.150000000000006, -98.01782227032454, 202.95214136897584, -7996.782761859979, 197.90086605158803, -537.1891614457771, -8849.469225408613, -7773.510604407772, -7901.479732806687, -8050.786574891573, 21.54770658608713, -7845.878937301723, -8314.46732901779, -89.28286007040495, -7809.624926205464, -7936.5310754815555, -178.45116855244817, -7926.601367109362, -763.4455523296332, -8823.428317164207, -8053.7218122528975, -8443.583385869311, 19.241882395264582, 32.645787257223866, -8945.55147760686, -7814.830818679158, -7893.4468601538665, -86.02476230975584, -8130.429565977485, -8114.688186945996, -216.6107815702684, 164.39999999999998, -8427.697399426266, -49.68491147796789, -8261.17455423579, -7859.198300212667, -8173.650150498217, -7945.713402290134, -8170.967468340704, -7973.625008050903, -8420.956292350184, -8238.534141804708, -8479.930721450093, -8706.70956630567, -8223.820802089407, -7861.525742560487, -7948.164896430234, 52.993169217793024, 210.0765765450318, -8184.027927020248, -7903.305258437384, -8224.185187220957, 270.9695533654768, -7957.7720308386515, -8354.946169072668, -8436.096878848948, -9097.9439358053, -8086.0252926700605, -8219.796981591573, -178.21670540095914, -8163.100666064688, -517.6515686984552, -7942.690015752263, 118.06373181148658, -8582.030436490119]","[7, 20, 4, 14, 7, 9, 7, 8, 8, 15, 12, 10, 12, 13, 5, 10, 3, 15, 7, 6, 7, 5, 9, 20, 8, 13, 7, 29, 6, 16, 18, 5, 12, 8, 23, 2, 6, 8, 12, 6, 16, 24, 7, 9, 12, 9, 10, 18, 8, 8, 11, 12, 12, 23, 25, 13, 19, 9, 6, 27, 8, 9, 5, 13, 12, 12, 3, 20, 9, 15, 7, 15, 10, 14, 9, 21, 17, 21, 24, 15, 11, 12, 14, 7, 16, 12, 15, 8, 9, 19, 21, 31, 13, 14, 8, 14, 20, 10, 3, 23]",-9222.169316992622,116.0390341735878,0.0,47.9,4.437341546466758,0.0,"[-9451.95, -9454.95, -9162.323976310141, -9155.277587653474, -9175.773926369431, -9174.164473558545, -9156.855811937807, -9161.193352083921, -9148.175046822686, -9181.028995190225]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[54, 53, 50, 38, 44, 49, 45, 50, 49, 47]"
dqn_vanilla,config_5.json,456,2025-07-27T22:14:37.077043,0.08002090454101562,100,-5504.694982643279,"[-7670.545054546573, -7719.216441024212, -7817.330981967981, 236.7639760896991, 162.30235032181605, -35.93317217490015, -7868.18989131929, -8205.114649847477, -254.39338589715592, -7875.132998114844, -8120.114555039593, -7895.940218287172, -35.900000000000006, -7984.851205348993, -7882.740967686086, 169.81534072643876, -7854.384002828348, 137.90628498643693, -8038.139143250109, -8124.009796482216, -7785.716614025772, -8521.668016080946, -7902.661043629413, -423.19168964617353, 111.82373216816342, 139.89766289589545, -8091.518737795803, -63.24467473461602, -8114.653767748052, -8460.483234569936, -178.67633123097914, -228.58793763065677, -7636.549084845205, -8133.385772838393, -8677.554508171414, 380.40000000000003, -7795.03388561317, -7873.771763034912, -7645.3, -7887.459848792877, -7914.307096423373, -7989.995752946345, -8070.217589396785, 173.53042621886618, 267.7645960807294, 243.06667545695512, -7872.413176227424, -8542.53860410677, -8029.303685517578, -7939.948394310282, -8196.355161647654, -100.4436360761846, -8010.953953282527, -7759.5708406771655, -12.994729818761904, -7677.300089067491, -7824.143549285994, -7695.915828810593, -8093.763753339339, -34.150000000000006, -7920.479715708771, -7678.407387392591, -8133.277064113231, -7764.8998607783, 339.5565067656745, 11.40314195601075, -7968.421074104566, 111.32848685781758, -331.7517179477905, -7852.023710008239, -8616.086869228031, -7645.599815696429, -7992.868733146497, 134.50389919962313, -7847.10515476507, -7735.2301759633465, -7769.744332361087, -8812.052223659355, -7720.071568130764, -8268.741875370084, -7896.632487780636, -7875.246328420718, -7900.906339699193, -7851.894487392771, 176.93182402100172, -8455.133574217263, -8963.457004329639, -8732.009545201103, -7716.274871682341, 159.8, 44.920103590905704, -688.5777677217792, -7890.961217887432, -7614.410814289166, -7894.743306571421, -8217.532697591547, 277.93841715094203, 360.08215727398954, -7631.900000000001, -8157.082909792181]","[6, 8, 8, 8, 7, 7, 10, 14, 15, 9, 12, 7, 2, 11, 10, 9, 9, 8, 11, 14, 8, 24, 10, 19, 2, 7, 11, 12, 12, 19, 13, 14, 7, 13, 27, 4, 11, 8, 5, 10, 9, 10, 15, 2, 7, 6, 13, 23, 12, 12, 14, 12, 11, 5, 9, 6, 9, 7, 12, 2, 9, 6, 13, 6, 5, 10, 12, 9, 17, 8, 24, 5, 12, 4, 7, 6, 8, 25, 8, 18, 9, 9, 7, 9, 7, 22, 31, 29, 5, 3, 9, 26, 10, 6, 9, 15, 6, 4, 5, 14]",-9121.862363970116,145.4113693288015,0.0,52.2,0.9797958971132712,0.0,"[-9246.027350643659, -9236.1, -9236.1, -8946.338712636658, -9242.242086086057, -9246.400534077433, -9236.1, -8947.722836604607, -8931.5, -8950.092119652749]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[53, 53, 53, 51, 53, 53, 53, 51, 51, 51]"
greedy,config_5.json,42,2025-07-27T22:14:37.085300,0.0,0,,,,-7582.741323946742,18.07644398585248,0.0,5.0,0.0,0.0,"[-7609.029732739612, -7567.210641674873, -7577.37909858161, -7615.025918680213, -7586.922737093437, -7560.299999999999, -7593.257675374981, -7586.094922316318, -7571.892513006385, -7560.299999999999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
greedy,config_5.json,123,2025-07-27T22:14:37.092825,0.0,0,,,,-7573.1221239465285,7.2691223975550265,0.0,5.0,0.0,0.0,"[-7564.162964959824, -7582.015856311008, -7568.606041640408, -7577.497023783715, -7578.054824861597, -7584.477061988631, -7571.49537786222, -7574.287250323232, -7560.299999999999, -7570.324837734664]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
greedy,config_5.json,456,2025-07-27T22:14:37.104511,0.0,0,,,,-7574.250112347186,13.785968063044495,0.0,5.0,0.0,0.0,"[-7577.684331272363, -7563.322780413224, -7577.317931450008, -7560.299999999999, -7570.622611862693, -7605.773556525884, -7583.832097255543, -7560.299999999999, -7560.299999999999, -7583.047814692135]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
random,config_5.json,42,2025-07-27T22:14:37.112569,0.0,0,,,,-2932.199891738549,3885.2069056627242,0.6,4.8,0.6,0.0,"[341.3596393407412, 301.27238602775253, 356.89356823436015, -7706.429642763882, -7738.022290904018, 368.12867444977337, -7625.555252037904, -48.35, -7682.85, 111.55400026768656]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
